source_system,state,year,facility_name,facility_name_clean,fuel_group,primary_fuel,latitude,longitude,geocode_status,project_status,mw_capacity,reporting_year,abs_joined,label,geocode_query,display_name,reporting_entity,facility_type,electricity_production_gj,electricity_production_mwh,scope1_emissions_tco2e,scope2_emissions_tco2e,total_emissions_tco2e,emission_intensity_tco2e_per_mwh,grid_connected,grid,scope1_imputed,scope2_imputed,total_imputed,intensity_imputed,accreditation_code,postcode,accreditation_start_date,approval_date,committed_date,reference_date,reference_year,Estimated resident population (no.),Population density (persons/km2),Estimated resident population - males (no.),Estimated resident population - females (no.),Median age - males (years),Median age - females (years),Median age - persons (years),Working age population (aged 15-64 years) (no.),Working age population (aged 15-64 years) (%),Males - 0-4 years (no.),Males - 5-9 years (no.),Males - 10-14 years (no.),Males - 15-19 years (no.),Males - 20-24 years (no.),Males - 25-29 years (no.),Males - 30-34 years (no.),Males - 35-39 years (no.),Males - 40-44 years (no.),Males - 45-49 years (no.),Males - 50-54 years (no.),Males - 55-59 years (no.),Males - 60-64 years (no.),Males - 65-69 years (no.),Males - 70-74 years (no.),Males - 75-79 years (no.),Males - 80-84 years (no.),Males - 85 and over (no.),Males - 0-4 years (%),Males - 5-9 years (%),Males - 10-14 years (%),Males - 15-19 years (%),Males - 20-24 years (%),Males - 25-29 years (%),Males - 30-34 years (%),Males - 35-39 years (%),Males - 40-44 years (%),Males - 45-49 years (%),Males - 50-54 years (%),Males - 55-59 years (%),Males - 60-64 years (%),Males - 65-69 years (%),Males - 70-74 years (%),Males - 75-79 years (%),Males - 80-84 years (%),Males - 85 and over (%),Females - 0-4 years (no.),Females - 5-9 years (no.),Females - 10-14 years (no.),Females - 15-19 years (no.),Females - 20-24 years (no.),Females - 25-29 years (no.),Females - 30-34 years (no.),Females - 35-39 years (no.),Females - 40-44 years (no.),Females - 45-49 years (no.),Females - 50-54 years (no.),Females - 55-59 years (no.),Females - 60-64 years (no.),Females - 65-69 years (no.),Females - 70-74 years (no.),Females - 75-79 years (no.),Females - 80-84 years (no.),Females - 85 and over (no.),Females - 0-4 years (%),Females - 5-9 years (%),Females - 10-14 years (%),Females - 15-19 years (%),Females - 20-24 years (%),Females - 25-29 years (%),Females - 30-34 years (%),Females - 35-39 years (%),Females - 40-44 years (%),Females - 45-49 years (%),Females - 50-54 years (%),Females - 55-59 years (%),Females - 60-64 years (%),Females - 65-69 years (%),Females - 70-74 years (%),Females - 75-79 years (%),Females - 80-84 years (%),Females - 85 and over (%),Persons - 0-4 years (no.),Persons - 5-9 years (no.),Persons - 10-14 years (no.),Persons - 15-19 years (no.),Persons - 20-24 years (no.),Persons - 25-29 years (no.),Persons - 30-34 years (no.),Persons - 35-39 years (no.),Persons - 40-44 years (no.),Persons - 45-49 years (no.),Persons - 50-54 years (no.),Persons - 55-59 years (no.),Persons - 60-64 years (no.),Persons - 65-69 years (no.),Persons - 70-74 years (no.),Persons - 75-79 years (no.),Persons - 80-84 years (no.),Persons - 85 and over (no.),Persons - 0-4 years (%),Persons - 5-9 years (%),Persons - 10-14 years (%),Persons - 15-19 years (%),Persons - 20-24 years (%),Persons - 25-29 years (%),Persons - 30-34 years (%),Persons - 35-39 years (%),Persons - 40-44 years (%),Persons - 45-49 years (%),Persons - 50-54 years (%),Persons - 55-59 years (%),Persons - 60-64 years (%),Persons - 65-69 years (%),Persons - 70-74 years (%),Persons - 75-79 years (%),Persons - 80-84 years (%),Persons - 85 and over (%),Births (no.),Total fertility rate (births per female) (rate),Deaths (no.),"Standardised death rate (per 1,000 people) (rate)",Internal arrivals (no.),Internal departures (no.),Net internal migration (no.),Overseas arrivals (no.),Overseas departures (no.),Net overseas migration (no.),Aboriginal and Torres Strait Islander Peoples (no.),Aboriginal and Torres Strait Islander Peoples (%),Born in Oceania and Antarctica (excluding Australia) (%),Born in North-West Europe (%),Born in Southern and Eastern Europe (%),Born in North Africa and the Middle East (%),Born in South-East Asia (%),Born in North-East Asia (%),Born in Southern and Central Asia (%),Born in Americas (%),Born in Sub-Saharan Africa (%),Total born overseas (no.),Total born overseas (%),Buddhism (%),Christianity (%),Hinduism (%),Islam (%),Judaism (%),Other religions (%),"Secular beliefs, other spiritual beliefs or no religion (%)",Religious affiliation inadequately described or not stated (%),Australian citizen (no.),Not an Australian citizen (no.),Australian citizenship not stated (no.),Australian citizen (%),Not an Australian citizen (%),Australian citizenship not stated (%),Speaks a language other than English at home (no.),Speaks a language other than English at home (%),Currently serving in the Australian Defence Force (no.),Previously served in the Australian Defence Force (no.),Currently serving in the Australian Defence Force (%),Previously served in the Australian Defence Force (%)
NGER,ACT,2014,Mugga Lane LFG Power Station,mugga lane lfg power station,BIOENERGY,Landfill Gas,-35.3739879,149.1324352,ok,,,2014,True,Australian Capital Territory,"Mugga Lane LFG Power Station, landfill gas power station, electricity generation facility, Australian Capital Territory, Australia","Mugga Ln, Canberra ACT, Australia",ENERGY DEVELOPMENTS LIMITED,F,79427.0,22063.0,1398.0,1.0,1399,0.0634093278339301,On,NEM,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGER,ACT,2014,Royalla Solar Farm,royalla solar farm,SOLAR,Solar,-35.4897929,149.1430018,ok,,,2014,True,Australian Capital Territory,"Royalla Solar Farm, electricity generation facility, Australian Capital Territory, Australia","Australian Capital Territory 2900, Australia",ACCIONA ENERGY OCEANIA PTY LTD,F,213115.0,59199.0,0.0,15.0,15,0.0002533826584908,On,NEM,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGER,ACT,2014,Royalla Solar Farm,royalla solar farm,SOLAR,Solar,-35.4897929,149.1430018,ok,,,2014,True,Australian Capital Territory,"Royalla Solar Farm, electricity generation facility, Australian Capital Territory, Australia","Australian Capital Territory 2900, Australia",ROYALLA HOLDINGS ASSET PTY LTD,F,49475.0,13743.0,0.0,85.0,85,0.006184966892236,On,NEM,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGER,ACT,2014,West Belconnen LFG Power Station,west belconnen lfg power station,BIOENERGY,Landfill Gas,-35.2400016,149.0672995,ok,,,2014,True,Australian Capital Territory,"West Belconnen LFG Power Station, landfill gas power station, electricity generation facility, Australian Capital Territory, Australia","Belconnen ACT 2617, Australia",ENERGY DEVELOPMENTS LIMITED,F,11163.0,3101.0,201.0,8.0,209,0.0673976136730087,On,NEM,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGER,NSW,2014,Albury Renewable Energy Facility,albury renewable energy facility,BIOENERGY,Landfill Gas,-36.0751193,146.9094852,ok,,,2014,True,New South Wales,"Albury Renewable Energy Facility, landfill gas power station, New South Wales, Australia","Albury NSW 2640, Australia",LMS ENERGY PTY LTD,F,28779.0,7994.0,435.0,0.0,435,0.0544158118588941,On,NEM,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGER,NSW,2014,Appin CSM Power Station,appin csm power station,GAS,Coal Seam Methane,-34.200914,150.7874904,ok,,,2014,True,New South Wales,"Appin CSM Power Station, gas power station, electricity generation facility, New South Wales, Australia","Appin NSW 2560, Australia",ENERGY DEVELOPMENTS LIMITED,F,588901.0,163584.0,124621.0,85.0,124706,0.7623361697965572,On,NEM,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGER,NSW,2014,Australand,australand,GAS,Gas,-31.2532183,146.921099,low_precision,,,2014,True,New South Wales,"Australand, gas-fired power station, electricity generation facility, New South Wales, Australia","New South Wales, Australia",ORIGIN ENERGY LIMITED,F,4031.0,1120.0,668.0,48.0,716,0.6392857142857142,On,NEM,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGER,NSW,2014,Awaba Renewable Energy Facility,awaba renewable energy facility,BIOENERGY,Landfill Gas,-33.0086146,151.5475816,ok,,,2014,True,New South Wales,"Awaba Renewable Energy Facility, landfill gas power station, New South Wales, Australia","Awaba NSW 2283, Australia",LMS ENERGY PTY LTD,F,33021.0,9173.0,507.0,0.0,507,0.0552709037392347,On,NEM,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGER,NSW,2014,Bayswater Power Station,bayswater power station,COAL,Black Coal,-32.3838413,150.9522752,ok,,,2014,True,New South Wales,"Bayswater Power Station, coal-fired power station, electricity generation facility, New South Wales, Australia","New England Hwy, Muswellbrook NSW 2333, Australia",AGL ENERGY LIMITED,F,50275548.0,13965430.0,12253123.0,8306.0,12261429,0.8779843513590344,On,NEM,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGER,NSW,2014,Bayswater Power Station,bayswater power station,COAL,Black Coal,-32.3838413,150.9522752,ok,,,2014,True,New South Wales,"Bayswater Power Station, coal-fired power station, electricity generation facility, New South Wales, Australia","New England Hwy, Muswellbrook NSW 2333, Australia",MACQUARIE GENERATION,F,11250900.0,3125250.0,2650584.0,0.0,2650584,0.8481190304775618,On,NEM,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
