facility_code,facility_name,network_id,region,latitude,longitude,facility_name_clean_key
ADP,Adelaide Desalination,NEM,SA1,-35.100751,138.483357,adelaide desalination
ALDGASF,Aldoga,NEM,QLD1,-23.839544,151.0849,aldoga
AMCORGR,Amcor Glass,NEM,SA1,-34.882663,138.577975,amcor glass
ANGASTON,Angaston,NEM,SA1,-34.503389,139.02458,angaston
APS,Anglesea,NEM,VIC1,-38.389031,144.180589,anglesea
APPIN,Appin,NEM,NSW1,-34.210868,150.792711,appin
ARWF,Ararat,NEM,VIC1,-37.263393,143.082116,ararat
AVLSF,Avonlie,NEM,NSW1,-34.913826,146.590545,avonlie
AWABAREF,Awaba,NEM,NSW1,-33.023339,151.551228,awaba
DEIBDL,Bairnsdale,NEM,VIC1,-37.842918,147.563855,bairnsdale
BAKING,Baking Board,NEM,QLD1,-26.720639,150.553781,baking board
BHWF,Bald Hills,NEM,VIC1,-38.746897,145.949104,bald hills
BALBESS,Ballarat,NEM,VIC1,-37.567603,143.919894,ballarat
BBASEHOS,Ballarat Hospital,NEM,VIC1,-37.558774,143.847247,ballarat hospital
BANGOWF,Bango,NEM,NSW1,-34.767208,148.921499,bango
BAPS,Banimboola,NEM,VIC1,-36.534342,147.45934,banimboola
BANKSPT,Bankstown Sports Club,NEM,NSW1,-33.919998,151.033742,bankstown sports club
BANNSP,Bannerton,NEM,VIC1,-34.687324,142.77895,bannerton
BARCALDN,Barcaldine,NEM,QLD1,-23.552279,145.314856,barcaldine
BARCSF,Barcaldine,NEM,QLD1,-23.547776,145.318817,barcaldine
BARKIPS,Barker Inlet,NEM,SA1,-34.803695,138.523864,barker inlet
BARRON,Barron Gorge,NEM,QLD1,-16.850852,145.646758,barron gorge
BASTYAN,Bastyan,NEM,TAS1,-41.736045,145.532064,bastyan
BAYSW,Bayswater,NEM,NSW1,-32.394981,150.94949,bayswater
BBDISEL1,Bell Bay,NEM,TAS1,-41.127009,146.874083,bell bay
BELLBAY,Bell Bay,NEM,TAS1,-41.141944,146.9025,bell bay
BBP31,Bell Bay Three,NEM,TAS1,-41.139324,146.905522,bell bay three
BHBBESS,Bellambi,NEM,NSW1,-32.322372,149.465006,bellambi
BCBESS,Bennetts Creek,NEM,VIC1,-38.259575,146.425208,bennetts creek
BRYB1WF1,Berrybank,NEM,VIC1,-37.885519,143.453446,berrybank
BERWICK,Berwick,NEM,VIC1,-37.940819,145.236257,berwick
BERYLSF,Beryl,NEM,NSW1,-32.356446,149.470517,beryl
BIALAWF,Biala,NEM,NSW1,-34.587836,149.369848,biala
BLAYNEY,Blayney,NEM,NSW1,-33.621944,149.198333,blayney
BLINDCREEK,Blind Creek,NEM,NSW1,-35.18531,149.472248,blind creek
SNOWY6,Blowering,NEM,NSW1,-35.398563,148.246201,blowering
BLUEGSF,Blue Grass,NEM,QLD1,-26.682643,150.504537,blue grass
BLULAKE,Blue Lake Milling,NEM,SA1,-36.316597,140.757571,blue lake milling
BLYTHB,Blyth,NEM,SA1,-33.848475,138.403204,blyth
BOCOROCK,Boco Rock,NEM,NSW1,-36.574527,149.124863,boco rock
BODWF,Bodangora,NEM,NSW1,-32.414669,149.099633,bodangora
MCKAY,Bogong / Mackay,NEM,VIC1,-36.858282,147.234146,bogong mackay
BOLIVAR,Bolivar,NEM,SA1,-34.495482,138.387641,bolivar
BOLIVPS,Bolivar,NEM,SA1,-34.7772,138.5826,bolivar
BOMENSF,Bomen,NEM,NSW1,-35.046577,147.442585,bomen
BCWF,Boulder Creek,NEM,QLD1,-23.669964,150.260813,boulder creek
BBATTERY,Bouldercombe,NEM,QLD1,-23.535251,150.489057,bouldercombe
BRAEMARA,Braemar,NEM,QLD1,-27.110488,150.905683,braemar
B2PS,Braemar 2,NEM,QLD1,-27.112874,150.905442,braemar 2
BRNDBES,Brendale,NEM,QLD1,-27.329333,152.974384,brendale
BROADMDW,Broadmeadows,NEM,VIC1,-37.685081,144.966114,broadmeadows
BRDD,Broadsound,NEM,QLD1,-22.810001,149.36302,broadsound
BWTR1,Broadwater,NEM,NSW1,-29.016483,153.445756,broadwater
BHILLGT,Broken Hill,NEM,NSW1,-31.986313,141.42062,broken hill
BROKENH,Broken Hill,NEM,NSW1,-31.987538,141.391994,broken hill
BHB,Broken Hill Battery,NEM,NSW1,-31.986306,141.422951,broken hill battery
BROOKLYN,Brooklyn,NEM,VIC1,-37.818597,144.828492,brooklyn
BROWNMT,Brown Mountain,NEM,NSW1,-36.594993,149.473997,brown mountain
BPLANDF,Browns Plains,NEM,QLD1,-27.674584,153.068499,browns plains
WELLINGTONBESS,Bulabul,NEM,NSW1,-32.530355,148.969343,bulabul
BULGANA,Bulgana Green Power Hub,NEM,VIC1,-37.039507,142.982799,bulgana green power hub
BUSF,Bundaberg,NEM,QLD1,-24.943515,152.020698,bundaberg
BNGSF1,Bungala One,NEM,SA1,-32.415846,137.841225,bungala one
BNGSF2,Bungala Two,NEM,SA1,-32.415846,137.841225,bungala two
BUNGAMB,Bungama,NEM,SA1,-33.191223,138.08733,bungama
BDONGHYD,Burrendong,NEM,NSW1,-32.664624,149.107959,burrendong
BURRIN,Burrinjuck,NEM,NSW1,-35.003008,148.582864,burrinjuck
BUTLERSG,Butlers Gorge,NEM,TAS1,-42.266898,146.261823,butlers gorge
CALBESS1,Calala 1,NEM,NSW1,-31.141287,150.963101,calala 1
CALBESS2,Calala 2,NEM,NSW1,-31.141287,150.963101,calala 2
CALL_A,Callide A,NEM,QLD1,-24.333169,150.626322,callide a
CALL_B,Callide B,NEM,QLD1,-24.346016,150.61856,callide b
CALLIDEC1,Callide C,NEM,QLD1,-24.346016,150.61856,callide c
CANUNDA1,Canunda,NEM,SA1,-37.698303,140.383633,canunda
CAPBES,Capital,NEM,NSW1,-35.338251,149.215529,capital
CAPTL_WF,Capital,NEM,NSW1,-35.123534,149.500249,capital
CESF,Capital East,NEM,NSW1,-35.180684,149.546482,capital east
CHWF1,Carmody's Hill,NEM,SA1,-33.360857,138.478203,carmody s hill
CRWARP,Carwarp,NEM,VIC1,-34.454955,142.15808,carwarp
LI_WY_CA,Catagunya / Liapootah / Wayatinah,NEM,TAS1,-42.376279,146.510051,catagunya liapootah wayatinah
CATHROCK,Cathedral Rocks,NEM,SA1,-34.848741,135.592649,cathedral rocks
CTHLWF,Cattle Hill,NEM,TAS1,-42.149661,146.724045,cattle hill
CETHANA,Cethana,NEM,TAS1,-41.480804,146.134511,cethana
CHALLWF,Challicum Hills,NEM,VIC1,-37.395466,143.10459,challicum hills
CHPSTWF,Chepstowe,NEM,VIC1,-37.596503,143.499582,chepstowe
CHYTWF,Cherry Tree,NEM,VIC1,-37.1018,145.2656,cherry tree
CHILDSF,Childers,NEM,QLD1,-25.305189,152.402663,childers
CHBESS,Chinchilla,NEM,QLD1,-26.918551,150.745399,chinchilla
CBWWBA,Christies Beach,NEM,SA1,-35.125958,138.47135,christies beach
CLARESF,Clare,NEM,QLD1,-19.839817,147.204884,clare
CLRKCWF,Clarke Creek,NEM,QLD1,-22.850446,149.453252,clarke creek
CLAYTON,Clayton,NEM,VIC1,-37.950618,145.119681,clayton
CLEMGPWF,Clements Gap,NEM,SA1,-33.489773,138.111695,clements gap
CLERMSF,Clermont,NEM,QLD1,-22.837763,147.579322,clermont
CLOVER,Clover,NEM,VIC1,-36.785257,147.220466,clover
CLUNY,Cluny,NEM,TAS1,-42.506442,146.68104,cluny
CODRGTON,Codrington,NEM,VIC1,-38.282875,141.95496,codrington
COHUNSF1,Cohuna,NEM,VIC1,-35.886553,144.217421,cohuna
COLEASF,Coleambally,NEM,NSW1,-34.762456,145.928786,coleambally
COLWF01,Collector,NEM,NSW1,-34.862066,149.388245,collector
COLNSV,Collinsville,NEM,QLD1,-20.543333,147.806944,collinsville
CSPVPS,Collinsville,NEM,QLD1,-20.541215,147.807432,collinsville
COLONGRA,Colongra,NEM,NSW1,-33.209801,151.544968,colongra
COLUMSF,Columboola,NEM,QLD1,-26.633781,150.298894,columboola
CPSA,Condamine A,NEM,QLD1,-26.668181,150.270023,condamine a
CONDONG1,Condong,NEM,NSW1,-28.314766,153.433808,condong
CBWF,Coonoer Bridge,NEM,VIC1,-36.415237,143.380189,coonoer bridge
COOPGWF,Coopers Gap,NEM,QLD1,-26.717004,151.449177,coopers gap
COPTNHYD,Copeton,NEM,NSW1,-29.910174,150.92348,copeton
CORIO,Corio,NEM,VIC1,-38.059048,144.404905,corio
CRWASF1,Corowa,NEM,NSW1,-35.979325,146.359356,corowa
CROOKWEL,Crookwell,NEM,NSW1,-34.5165,149.54248,crookwell
CROOKWF2,Crookwell 2,NEM,NSW1,-34.556855,149.609565,crookwell 2
CROOKWF3,Crookwell 3,NEM,NSW1,-34.484645,149.54447,crookwell 3
CROWLWF,Crowlands,NEM,VIC1,-36.97615,143.097998,crowlands
CRURWF1,Crudine Ridge,NEM,NSW1,-32.864748,149.81297,crudine ridge
CULCSF,Culcairn,NEM,NSW1,-35.709592,146.981761,culcairn
CULLERIN,Cullerin Range,NEM,NSW1,-34.809208,149.399185,cullerin range
DAANDINE,Daandine,NEM,QLD1,-27.08615,150.942623,daandine
DALNTH,Dalrymple North,NEM,SA1,-34.933952,137.743532,dalrymple north
DDPS1,Darling Downs,NEM,QLD1,-27.116855,150.894761,darling downs
DDSF,Darling Downs,NEM,QLD1,-27.113797,150.879733,darling downs
DARLSF,Darlington Point,NEM,NSW1,-34.648971,146.061179,darlington point
DPNTB,Darlington Point,NEM,NSW1,-34.647016,146.035236,darlington point
DARTM,Dartmouth,NEM,VIC1,-36.556485,147.520456,dartmouth
DAYDSF,Daydream,NEM,QLD1,-20.479752,147.763711,daydream
DELBURNWF,Delburn,NEM,VIC1,-38.326518,146.25402,delburn
DEVILS_G,Devils Gate,NEM,TAS1,-41.350513,146.263394,devils gate
DIAPURWF,Diapur 2,NEM,VIC1,-36.339953,141.447361,diapur 2
DRYCGT,Dry Creek,NEM,SA1,-34.847703,138.5816,dry creek
DULAWF,Dulacca,NEM,QLD1,-26.631438,149.867554,dulacca
DUNDWF,Dundonnell,NEM,VIC1,-37.863894,142.943454,dundonnell
PMATTAEP,Earthpower,NEM,NSW1,-33.824397,151.042142,earthpower
EASTCRK,Eastern Creek,NEM,NSW1,-33.815468,150.854307,eastern creek
EASTCRK2,Eastern Creek 2,NEM,NSW1,-33.815468,150.854307,eastern creek 2
EDENVSF,Edenvale,NEM,QLD1,-26.931732,150.582727,edenvale
EILDON,Eildon,NEM,VIC1,-37.221982,145.921476,eildon
EILDONPD,Eildon,NEM,VIC1,-37.221774,145.922582,eildon
ELAINEBESS,Elaine,NEM,VIC1,-37.734648,144.010291,elaine
ELAINEWF,Elaine,NEM,VIC1,-37.6352,144.0237,elaine
EMERASF,Emerald,NEM,QLD1,-23.507996,148.126404,emerald
ENERGYB,Energy Brix,NEM,VIC1,-38.254444,146.413611,energy brix
ERARING,Eraring,NEM,NSW1,-33.061039,151.51984,eraring
ERB,Eraring,NEM,NSW1,-33.066837,151.515026,eraring
ERGT01,Eraring,NEM,NSW1,-33.062117,151.517224,eraring
ERB2,Eraring 2,NEM,NSW1,-33.066837,151.515026,eraring 2
FWF,Ferguson,NEM,VIC1,-38.610902,143.179321,ferguson
FINLEYSF,Finley,NEM,NSW1,-35.648941,145.50575,finley
FISHER,Fisher,NEM,TAS1,-41.673312,146.268511,fisher
FLYCRKWF,Flyers Creek,NEM,NSW1,-33.517716,149.052949,flyers creek
FULHAMSF,Fulham,NEM,VIC1,-38.121256,146.973124,fulham
GANGARR,Gangarri,NEM,QLD1,-26.270557,149.758054,gangarri
GANNBESS,Gannawarra,NEM,VIC1,-35.734598,143.779894,gannawarra
GANNSF,Gannawarra,NEM,VIC1,-35.729012,143.783189,gannawarra
GEORGTWN,George Town,NEM,TAS1,-41.091063,146.893204,george town
GERMCRK,German Creek,NEM,QLD1,-22.928526,148.549097,german creek
GIRGSF,Girgarre,NEM,VIC1,-36.426125,144.922155,girgarre
GSTONE,Gladstone,NEM,QLD1,-23.853641,151.217515,gladstone
GLBWNHYD,Glenbawn,NEM,NSW1,-32.107937,150.999481,glenbawn
GESF,Glenellen,NEM,NSW1,-35.929882,146.909107,glenellen
GLENMAGG,Glenmaggie,NEM,VIC1,-37.904836,146.800388,glenmaggie
GLENNCRK,Glennies Creek,NEM,NSW1,-32.459876,151.128697,glennies creek
GLENSF,Glenrowan,NEM,VIC1,-36.464,146.221,glenrowan
GLRWNSF,Glenrowan West,NEM,VIC1,-36.4907,146.157473,glenrowan west
GNARWARREBESS,Gnarwarre,NEM,VIC1,-38.148311,144.139484,gnarwarre
GPWFEST,Golden Plains East,NEM,VIC1,-37.9729,143.783,golden plains east
GPWFWST,Golden Plains West,NEM,VIC1,-37.90844,143.664887,golden plains west
GOONUMSF,Goonumbla,NEM,NSW1,-33.109212,148.092982,goonumbla
GOESF1,Goorambat East,NEM,VIC1,-36.427352,145.918853,goorambat east
GORDON,Gordon,NEM,TAS1,-42.740519,145.982796,gordon
GRIVSF,Goulburn River,NEM,NSW1,-32.282141,150.102488,goulburn river
GBESS,Goyder,NEM,SA1,-33.576364,138.945737,goyder
GSWF,Goyder South,NEM,SA1,-33.682196,138.936249,goyder south
GRANGEAV,Grange Avenue,NEM,NSW1,-33.713011,150.83316,grange avenue
GRANWF,Granville Harbour,NEM,TAS1,-41.778439,145.065517,granville harbour
GREENB,Greenbank,NEM,QLD1,-27.733562,152.955042,greenbank
GRIFSF,Griffith,NEM,NSW1,-34.317617,146.121416,griffith
GROSV1,Grosvenor 1,NEM,QLD1,-21.929194,148.032416,grosvenor 1
GROSV2,Grosvenor 2,NEM,QLD1,-21.929194,148.032416,grosvenor 2
GULLRGWF,Gullen Range,NEM,NSW1,-34.615245,149.45808,gullen range
GNNDHSF,Gunnedah,NEM,NSW1,-30.937263,150.344174,gunnedah
GUNNING,Gunning,NEM,NSW1,-34.691531,149.373013,gunning
GUSF,Gunsynd,NEM,QLD1,-28.408388,150.343437,gunsynd
SNOWY3,Guthega,NEM,NSW1,-36.350097,148.413602,guthega
HLMSEW01,Hallam,NEM,VIC1,-38.143332,145.119964,hallam
HALAMRD,Hallam Road,NEM,VIC1,-38.052181,145.267798,hallam road
AGLHAL,Hallett,NEM,SA1,-33.349528,138.751607,hallett
HALLETTB,Hallett,NEM,SA1,-33.346318,138.749818,hallett
HALLWF,Hallett 1,NEM,SA1,-33.328434,138.704669,hallett 1
HALLWF2,Hallett 2,NEM,SA1,-33.53821,138.857215,hallett 2
HAMISF,Hamilton,NEM,QLD1,-20.496081,147.738803,hamilton
HAMPTON,Hampton,NEM,NSW1,-33.649722,150.05,hampton
HVWW,Happy Valley,NEM,SA1,-35.063118,138.56476,happy valley
HASTING,Hastings,NEM,VIC1,-38.295952,145.221926,hastings
HAUGHT1,Haughton,NEM,QLD1,-19.750134,147.048103,haughton
HD1WF,Hawkesdale,NEM,VIC1,-38.148008,142.360925,hawkesdale
HAYMSF,Hayman,NEM,QLD1,-20.510097,147.755711,hayman
HAZEL,Hazelwood,NEM,VIC1,-38.270575,146.389794,hazelwood
HBESS,Hazelwood BESS,NEM,VIC1,-38.267845,146.390293,hazelwood bess
HEPWIND,Hepburn,NEM,VIC1,-37.424555,144.115711,hepburn
HILLSTN,Hillston Sun,NEM,NSW1,-33.531624,145.52242,hillston sun
HORNSDAL,Hornsdale,NEM,SA1,-33.05982,138.537673,hornsdale
HORNSDAL2,Hornsdale 2,NEM,SA1,-33.05982,138.537673,hornsdale 2
HORNSDAL3,Hornsdale 3,NEM,SA1,-33.05982,138.537673,hornsdale 3
HORNSDPR,Hornsdale Power Reserve,NEM,SA1,-33.086389,138.518659,hornsdale power reserve
HORSHAMSF,Horsham,NEM,VIC1,-36.71577,142.25956,horsham
HUGSF,Hughenden,NEM,QLD1,-20.85484,144.186257,hughenden
HUMENSW,Hume,NEM,NSW1,-36.106639,147.032526,hume
HUMEV,Hume,NEM,VIC1,-36.106887,147.032572,hume
HUNTER,Hunter,NEM,NSW1,-32.793406,151.478353,hunter
