event_time,network,network_region,price_aud_mwh,demand_mw
2026-05-01T00:00:00Z,NEM,NSW1,39.75,6614.21
2026-05-01T00:00:00Z,NEM,QLD1,23.71,5375.02
2026-05-01T00:00:00Z,NEM,SA1,-3.01,1183.36
2026-05-01T00:00:00Z,NEM,TAS1,73.11,1016.15
2026-05-01T00:00:00Z,NEM,VIC1,-3.06,4099.81
2026-05-01T00:05:00Z,NEM,NSW1,40.54,6595.68
2026-05-01T00:05:00Z,NEM,QLD1,23.73,5368.35
2026-05-01T00:05:00Z,NEM,SA1,-5.12,1145.86
2026-05-01T00:05:00Z,NEM,TAS1,82.38,1006.77
2026-05-01T00:05:00Z,NEM,VIC1,-5.36,4061.0
2026-05-01T00:10:00Z,NEM,NSW1,40.54,6587.78
2026-05-01T00:10:00Z,NEM,QLD1,22.81,5448.4
2026-05-01T00:10:00Z,NEM,SA1,-3.0,1169.4
2026-05-01T00:10:00Z,NEM,TAS1,84.54,1027.54
2026-05-01T00:10:00Z,NEM,VIC1,-3.28,4145.55
2026-05-01T00:15:00Z,NEM,NSW1,40.54,6449.75
2026-05-01T00:15:00Z,NEM,QLD1,22.79,5355.68
2026-05-01T00:15:00Z,NEM,SA1,-4.0,1168.94
2026-05-01T00:15:00Z,NEM,TAS1,83.66,1030.7
2026-05-01T00:15:00Z,NEM,VIC1,-4.11,3913.23
2026-05-01T00:20:00Z,NEM,NSW1,40.54,6445.36
2026-05-01T00:20:00Z,NEM,QLD1,11.29,5353.07
2026-05-01T00:20:00Z,NEM,SA1,-5.12,1153.53
2026-05-01T00:20:00Z,NEM,TAS1,82.53,996.76
2026-05-01T00:20:00Z,NEM,VIC1,-5.2,4012.69
2026-05-01T00:25:00Z,NEM,NSW1,40.54,6500.68
2026-05-01T00:25:00Z,NEM,QLD1,22.79,5420.44
2026-05-01T00:25:00Z,NEM,SA1,-4.0,1130.51
2026-05-01T00:25:00Z,NEM,TAS1,88.14,1035.28
2026-05-01T00:25:00Z,NEM,VIC1,-4.15,4078.02
2026-05-01T00:30:00Z,NEM,NSW1,40.54,6394.62
2026-05-01T00:30:00Z,NEM,QLD1,23.73,5433.56
2026-05-01T00:30:00Z,NEM,SA1,-5.13,1127.4
2026-05-01T00:30:00Z,NEM,TAS1,88.14,1027.62
2026-05-01T00:30:00Z,NEM,VIC1,-7.25,3915.29
2026-05-01T00:35:00Z,NEM,NSW1,40.54,6288.96
2026-05-01T00:35:00Z,NEM,QLD1,31.05,5418.71
2026-05-01T00:35:00Z,NEM,SA1,-5.12,1156.26
2026-05-01T00:35:00Z,NEM,TAS1,83.65,1019.79
2026-05-01T00:35:00Z,NEM,VIC1,-4.14,3896.39
2026-05-01T00:40:00Z,NEM,NSW1,40.54,6340.21
2026-05-01T00:40:00Z,NEM,QLD1,28.87,5443.85
2026-05-01T00:40:00Z,NEM,SA1,-3.56,1209.53
2026-05-01T00:40:00Z,NEM,TAS1,84.26,1025.96
2026-05-01T00:40:00Z,NEM,VIC1,-3.55,3872.3
2026-05-01T00:45:00Z,NEM,NSW1,40.54,6354.12
2026-05-01T00:45:00Z,NEM,QLD1,33.32,5392.77
2026-05-01T00:45:00Z,NEM,SA1,-3.01,1201.8
2026-05-01T00:45:00Z,NEM,TAS1,80.37,1021.19
2026-05-01T00:45:00Z,NEM,VIC1,-7.25,3700.95
2026-05-01T00:50:00Z,NEM,NSW1,40.54,6367.81
2026-05-01T00:50:00Z,NEM,QLD1,22.73,5344.35
2026-05-01T00:50:00Z,NEM,SA1,-3.01,1185.06
2026-05-01T00:50:00Z,NEM,TAS1,79.51,1021.38
2026-05-01T00:50:00Z,NEM,VIC1,-8.05,3772.94
2026-05-01T00:55:00Z,NEM,NSW1,40.54,6297.0
